"","t","Year","Month","date","sales","y_BCT_Guerr","y_BCT_loglik","y_BCT_log","y_BCT_sqrt","stl_residuals"
"1",1,2009,1,2009-01-31,20782,408.446046555967,8543.18118608679,9.94184250641259,144.159633739823,0.0546268120840555
"2",2,2009,2,2009-02-28,20634,406.854079440432,8488.39790980285,9.93469547966032,143.645396724016,-0.163306890379456
"3",3,2009,3,2009-03-31,25783,459.50558301826,10373.1600257157,10.1574706390013,160.57085663345,-0.0824005055582454
"4",4,2009,4,2009-04-30,25324,455.019716303542,10206.7926031065,10.139507841664,159.135162676261,0.0180780302803283
"5",5,2009,5,2009-05-31,31325,511.047657865508,12360.0555602711,10.3521717797643,176.988700204279,0.0294961839889323
"6",6,2009,6,2009-06-30,26394,465.420842996401,10594.1626298727,10.1808919905768,162.462303319878,-0.0128259768308199
"7",7,2009,7,2009-07-31,33974,534.203277796418,13296.9861422627,10.4333508051793,184.320373263511,0.15357635711166
"8",8,2009,8,2009-08-31,54396,690.622363610755,20311.5937870193,10.9040459007288,233.229500706922,0.422640854606285
"9",9,2009,9,2009-09-30,25745,459.135594195118,10359.3980029513,10.1559957124802,160.452485178635,-0.268423408456036
"10",10,2009,10,2009-10-31,30136,500.364684743444,11936.9703226091,10.3134757493719,173.597235001022,0.179101366520318
"11",11,2009,11,2009-11-30,27385,474.88379348731,10951.5326245914,10.2177506972178,165.4841382127,0.0631507407234441
"12",12,2009,12,2009-12-31,34946,542.491896301441,13638.9154455782,10.461559291899,186.938492558381,0.117113495789285
"13",13,2010,1,2010-01-31,15792,351.52179292932,6672.34659404534,9.66725876167326,125.66622457924,-0.322236089271735
"14",14,2010,2,2010-02-28,16552,360.67300974825,6960.71097564596,9.71426221942538,128.654576288603,-0.231776983954968
"15",15,2010,3,2010-03-31,36251,553.456560693664,14096.4985886566,10.4982222461092,190.396953757144,0.221716201956538
"16",16,2010,4,2010-04-30,27914,479.871219999915,11141.7664198854,10.2368836340686,167.074833532762,-0.0427021425777952
"17",17,2010,5,2010-05-31,29295,492.691953851056,11636.7090741261,10.2851721319789,171.157821907151,-0.173896098571975
"18",18,2010,6,2010-06-30,28435,484.741264352692,11328.7712320111,10.2553760597409,168.626806884315,0.110613609505439
"19",19,2010,7,2010-07-31,35058,543.440169826785,13678.2531268325,10.4647591117825,187.237816693103,0.0294376818280454
"20",20,2010,8,2010-08-31,30764,506.030640047223,12160.637244352,10.3341004541769,175.396693241349,-0.0763301213303347
"21",21,2010,9,2010-09-30,30518,503.817515609823,12073.0774078558,10.3260719524517,174.694018214706,0.17716193079477
"22",22,2010,10,2010-10-31,25014,451.969040348928,10094.2607683713,10.1271909471089,158.158148699332,-0.120193596662289
"23",23,2010,11,2010-11-30,20737,407.962551108591,8526.52824927299,9.93967482329784,144.003472180361,-0.0105513978418094
"24",24,2010,12,2010-12-31,31223,510.138539571979,12323.8244327364,10.3489102817014,176.700311261752,0.0528119864769648
"25",25,2011,1,2011-01-31,18145,379.253086439431,7560.92532941835,9.80615031964717,134.703377834411,-0.108452948894827
"26",26,2011,2,2011-02-28,27212,473.243228806527,10889.2406203256,10.211413331465,164.960601356809,0.0703556353792289
"27",27,2011,3,2011-03-31,31464,512.284383845801,12409.4103700265,10.3565993141116,177.380945989134,-0.0283471101311128
"28",28,2011,4,2011-04-30,30443,503.141165687702,12046.3683193784,10.323611361653,174.479225124368,0.0796209216461044
"29",29,2011,5,2011-05-31,18830,387.012757476755,7817.37697241204,9.8432066216512,137.222447143315,-0.591188661091321
"30",30,2011,6,2011-06-30,21375,414.773424269218,8762.29628169717,9.96997729380496,146.201915172134,0.0655544340332648
"31",31,2011,7,2011-07-31,27016,471.378796609288,10818.6191400889,10.2041845620654,164.365446490435,-0.091140870500554
"32",32,2011,8,2011-08-31,30185,500.808698574299,11954.438686551,10.3151003912305,173.738308959193,0.100803184231404
